iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
99,2,2,19,12,2560,[20_9];[20_10];[21_11];[20_11];[19_12];[19_11],[0;2;6;7;8;9],[19_12];[19_12];[19_11]
99,3,1,24,24,2395,[24_23];[24_24];[23_22];[22_23];[22_24];[24_22];[24_21];[23_24],[1;3;4;5],[23_24];[24_23];[24_23]
99,4,1,3,22,2254,[3_23];[3_22];[2_22];[4_22],[1;3;4;5],[2_22];[3_23];[3_22]
99,5,1,20,21,2517,[19_21];[18_21];[16_18];[17_21];[20_21];[19_20];[16_19];[17_19],[1;3;4;5],[18_21];[18_21];[20_21]
99,6,2,16,19,906,[17_18];[16_17];[16_20];[16_18];[17_21];[16_19],[0;2;6;7;8;9],[16_18];[16_20];[16_20]
99,7,2,11,23,951,[14_23];[10_24];[15_23];[15_22];[11_24];[13_24];[13_23];[11_23],[0;2;6;7;8;9],[14_23];[13_23];[11_23]
99,8,2,19,11,1739,[19_12];[18_11];[19_13];[18_12];[19_11],[0;2;6;7;8;9],[18_12];[18_12];[19_12]
99,9,2,2,18,2292,[3_17];[2_18];[1_18];[2_19];[3_18];[2_17],[0;2;6;7;8;9],[3_18];[3_17];[2_17]
100,0,2,6,4,1570,[6_4];[6_2];[7_4];[5_3];[6_1];[5_4];[6_3],[0;2;6;7;8;9],[5_4];[6_4];[7_4]
100,1,1,19,1,1368,[19_1];[19_2];[19_0];[18_1],[1;3;4;5],[19_0];[19_0];[19_1]
100,2,2,19,11,2561,[20_9];[20_10];[21_11];[20_11];[19_12];[19_11],[0;2;6;7;8;9],[19_12];[19_11];[19_12]
100,3,1,23,24,2396,[24_23];[24_24];[23_22];[22_24];[24_22];[24_21];[23_24],[1;3;4;5],[24_23];[24_23];[24_24]
100,4,1,2,23,2255,[3_23];[3_22];[2_22];[4_22];[2_23],[1;3;4;5],[3_22];[3_22];[2_23]
100,5,1,19,21,2518,[19_21];[18_21];[16_18];[17_21];[20_21];[19_20];[16_19];[17_19],[1;3;4;5],[20_21];[20_21]
100,6,2,16,18,907,[17_18];[16_17];[16_20];[16_18];[16_19],[0;2;6;7;8;9],[16_20];[16_20];[16_19]
100,7,2,12,23,952,[14_23];[15_23];[15_22];[11_24];[12_23];[13_24];[13_23];[11_23],[0;2;6;7;8;9],[13_23];[11_23];[12_23]
100,8,2,19,12,1740,[18_11];[19_13];[18_12];[19_11],[0;2;6;7;8;9],[18_12];[19_12];[19_11]
100,9,2,2,17,2293,[3_17];[2_18];[1_18];[2_19];[3_18];[2_17],[0;2;6;7;8;9],[3_17];[2_17];[2_18]
