iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
63,0,2,9,8,1763,[9_8];[8_10];[9_11];[9_9];[9_10];[8_11];[10_10],[0;2;3;4;7;9],[9_9];[9_8]
63,1,1,10,14,1924,[11_14];[8_14];[11_13];[9_14];[12_14];[10_15];[12_13];[10_14];[13_15],[1;5;6;8],[10_14];[10_14];[10_14]
63,2,2,2,5,1874,[1_8];[3_6];[4_5];[1_6];[3_5];[1_7];[2_5];[2_4],[0;2;3;4;7;9],[2_4]
63,3,2,24,6,1803,[24_7];[23_5];[23_6];[24_5];[24_6],[0;2;3;4;7;9],[24_6];[24_6];[24_5]
63,4,2,5,19,1139,[5_17];[6_19];[5_19];[4_19];[5_18];[5_20],[0;2;3;4;7;9],[5_18];[4_19];[4_19]
63,5,1,10,5,1810,[8_5];[7_6];[9_6];[9_8];[8_7];[9_7];[9_5];[8_4],[1;5;6;8],[8_5];[9_5];[9_5]
63,6,1,23,19,852,[24_19];[23_18];[24_18];[23_19],[1;5;6;8],[23_19];[23_19];[23_19]
63,7,2,21,10,1518,[21_8];[20_11];[21_9];[20_10];[23_7];[21_11],[0;2;3;4;7;9],[21_11]
63,8,1,18,17,1747,[17_18];[17_17];[16_18];[18_17];[18_18],[1;5;6;8],[18_18];[18_17];[18_17]
63,9,2,8,14,1301,[9_14];[8_14];[8_15];[8_13];[9_15];[7_13];[7_16],[0;2;3;4;7;9],[9_15];[9_15];[8_14]
64,0,2,9,7,1764,[9_8];[8_10];[9_11];[9_9];[9_10];[8_11];[10_10],[0;2;3;4;7;9],[9_9];[9_8];[9_8]
64,1,1,9,14,1925,[11_14];[8_14];[11_13];[9_14];[12_14];[10_15];[12_13];[10_14];[13_15],[1;5;6;8],[10_14];[10_14];[10_14]
64,2,2,1,4,1875,[1_8];[3_6];[4_5];[1_6];[3_5];[1_4];[2_5];[2_4],[0;2;3;4;7;9],[2_4];[2_5];[1_4]
64,3,2,24,5,1804,[24_7];[23_5];[23_6];[24_5];[24_6],[0;2;3;4;7;9],[24_6];[24_5];[24_6]
64,4,2,5,18,1140,[5_17];[6_19];[5_19];[4_19];[5_18];[5_20],[0;2;3;4;7;9],[4_19];[4_19];[5_19]
64,5,1,11,4,1811,[8_5];[7_6];[10_5];[9_6];[9_8];[9_7];[9_5];[11_4],[1;5;6;8],[9_5];[10_5];[11_4]
64,6,1,24,19,853,[23_18];[24_18];[23_19],[1;5;6;8],[23_19];[23_19];[23_19]
64,7,2,21,11,1519,[21_8];[20_11];[21_10];[21_9];[20_10];[23_7];[21_11],[0;2;3;4;7;9],[21_11];[21_10]
64,8,1,17,17,1748,[17_17];[16_18];[18_17];[18_18],[1;5;6;8],[18_17];[18_17];[18_17]
